confirmation_parent_uid,source_corpus,codec,nominal_rate_kbps,ALPHA,ORTHOGONAL_RESIDUAL,ENDPOINT_DISTANCE,NORMALIZED_RESIDUAL,WITHIN_ENDPOINT_SEGMENT
e4fb582fba64c3d437c774f1180962bdac4513af69af351aacd49d28d087413b,FSDnoisy18k,MP3,48,0.33625954431556515,17.89816591122962,33.0616445881088,0.5413573987080791,True
e4fb582fba64c3d437c774f1180962bdac4513af69af351aacd49d28d087413b,FSDnoisy18k,MP3,64,0.6792440049655876,19.187545356095416,33.0616445881088,0.5803566517981551,True
e4fb582fba64c3d437c774f1180962bdac4513af69af351aacd49d28d087413b,FSDnoisy18k,MP3,80,0.9511812525633132,12.955194258459331,33.0616445881088,0.39184966204369925,True
e4fb582fba64c3d437c774f1180962bdac4513af69af351aacd49d28d087413b,FSDnoisy18k,MP3,96,0.9823551081121631,6.519313513591727,33.0616445881088,0.19718660686155076,True
e4fb582fba64c3d437c774f1180962bdac4513af69af351aacd49d28d087413b,FSDnoisy18k,Opus,48,0.38502356631360674,1.5649763263835046,2.474225925064916,0.6325114899693101,True
e4fb582fba64c3d437c774f1180962bdac4513af69af351aacd49d28d087413b,FSDnoisy18k,Opus,64,0.7360656527996003,1.5333178155835918,2.474225925064916,0.6197161706416775,True
e4fb582fba64c3d437c774f1180962bdac4513af69af351aacd49d28d087413b,FSDnoisy18k,Opus,80,0.8996291113966648,1.3028130426098712,2.474225925064916,0.5265537917988187,True
e4fb582fba64c3d437c774f1180962bdac4513af69af351aacd49d28d087413b,FSDnoisy18k,Opus,96,0.7642596175464264,1.3032905770751249,2.474225925064916,0.5267467953804302,True
eae50d9baeb2c8a1ac5f0699947e30a4216b73f7ebb59ed100610a3a64f7739e,FSDnoisy18k,AAC,48,0.15390230803162805,11.840854479003978,27.572095238516827,0.42945065931960447,True
eae50d9baeb2c8a1ac5f0699947e30a4216b73f7ebb59ed100610a3a64f7739e,FSDnoisy18k,AAC,64,0.21093115223443581,12.038175057283702,27.572095238516827,0.4366071911889735,True
eae50d9baeb2c8a1ac5f0699947e30a4216b73f7ebb59ed100610a3a64f7739e,FSDnoisy18k,AAC,80,0.24142062683554147,11.945374163076666,27.572095238516827,0.43324143703049384,True
eae50d9baeb2c8a1ac5f0699947e30a4216b73f7ebb59ed100610a3a64f7739e,FSDnoisy18k,AAC,96,0.3723533139057427,15.324244296470091,27.572095238516827,0.5557881678525067,True
eae50d9baeb2c8a1ac5f0699947e30a4216b73f7ebb59ed100610a3a64f7739e,FSDnoisy18k,MP3,48,0.33251517790666424,13.367384158391422,21.742571665017014,0.6148023501699683,True
eae50d9baeb2c8a1ac5f0699947e30a4216b73f7ebb59ed100610a3a64f7739e,FSDnoisy18k,MP3,64,0.626875420473875,15.864036219935505,21.742571665017014,0.7296301681488832,True
eae50d9baeb2c8a1ac5f0699947e30a4216b73f7ebb59ed100610a3a64f7739e,FSDnoisy18k,MP3,80,0.9243969783843856,10.513203613300034,21.742571665017014,0.48353082493067673,True
eae50d9baeb2c8a1ac5f0699947e30a4216b73f7ebb59ed100610a3a64f7739e,FSDnoisy18k,MP3,96,0.9896526467103027,4.897877934651807,21.742571665017014,0.22526672603923434,True
eae50d9baeb2c8a1ac5f0699947e30a4216b73f7ebb59ed100610a3a64f7739e,FSDnoisy18k,Opus,48,0.25478200993763556,1.8122396519711044,2.548579680187917,0.7110782786424322,True
eae50d9baeb2c8a1ac5f0699947e30a4216b73f7ebb59ed100610a3a64f7739e,FSDnoisy18k,Opus,64,0.8668715704019037,1.7750305083057616,2.548579680187917,0.696478325596193,True
eae50d9baeb2c8a1ac5f0699947e30a4216b73f7ebb59ed100610a3a64f7739e,FSDnoisy18k,Opus,80,0.8775577102681035,1.358698386845096,2.548579680187917,0.5331198382406132,True
eae50d9baeb2c8a1ac5f0699947e30a4216b73f7ebb59ed100610a3a64f7739e,FSDnoisy18k,Opus,96,0.9421434037934199,1.1596294797689843,2.548579680187917,0.4550100939686847,True
f567be3233e24ea4b1282ecf18264d6fd88b772c22df7bf368b5812f6d94bead,FSDnoisy18k,AAC,48,0.11904085927870388,8.65741124657886,27.198866662786592,0.3183004407468163,True
f567be3233e24ea4b1282ecf18264d6fd88b772c22df7bf368b5812f6d94bead,FSDnoisy18k,AAC,64,0.17445602972735036,10.13099452783141,27.198866662786592,0.3724785541043372,True
f567be3233e24ea4b1282ecf18264d6fd88b772c22df7bf368b5812f6d94bead,FSDnoisy18k,AAC,80,0.20913135706131278,10.872143145423268,27.198866662786592,0.3997278004343652,True
