rate_kbps,rate_role,balanced_accuracy_raw,balanced_accuracy_display,macro_f1_raw,macro_f1_display,AAC_recall_raw,AAC_recall_display,MP3_recall_raw,MP3_recall_display,Opus_recall_raw,Opus_recall_display,formal_status
32,ENDPOINT_CONTROL,0.8833333333333333,0.883,0.8831573417571521,0.883,0.9166666666666666,0.917,0.8833333333333333,0.883,0.85,0.850,ENDPOINT_CONTROL
48,NEW_PROBE_FORMAL_NON_EVENT,0.39444444444444443,0.394,0.37599737047536874,0.376,0.15,0.150,0.2,0.200,0.8333333333333334,0.833,NEW_PROBE_FORMAL_NON_EVENT
64,DISCOVERY_RATE_REPLICATION,0.42777777777777776,0.428,0.38892666086910693,0.389,0.08333333333333333,0.083,0.35,0.350,0.85,0.850,DISCOVERY_RATE_REPLICATION
80,FULL_NEW_RATE_EVENT,0.4444444444444445,0.444,0.3878443661052356,0.388,0.06666666666666667,0.067,0.48333333333333334,0.483,0.7833333333333333,0.783,FULL_NEW_RATE_EVENT
96,FULL_NEW_RATE_EVENT,0.48888888888888893,0.489,0.4342558276594824,0.434,0.08333333333333333,0.083,0.65,0.650,0.7333333333333333,0.733,FULL_NEW_RATE_EVENT
128,ENDPOINT_CONTROL,0.8000000000000002,0.800,0.798459563543004,0.798,0.9,0.900,0.7,0.700,0.8,0.800,ENDPOINT_CONTROL
