rate_kbps,rate_role,AAC_recall,AAC_true_margin_median,AAC_wrong_centroid_fraction,AAC_clean_reference_distance,AAC_endpoint_trajectory_alpha,AAC_within_endpoint_segment_fraction,formal_status,source_artifact,source_field
32,ENDPOINT_CONTROL,0.9166666666666666,4.662424656832801,0.4,16.26072618839816,NA,NA,ENDPOINT_CONTROL,30_results_c1b/gate/AQ2C1B_confirmation_summary.json,per_AAC_rate.32
48,NEW_PROBE_FORMAL_NON_EVENT,0.15,-3.245819457502583,0.6833333333333333,12.149107565158348,0.3786460292893332,1.0,NEW_PROBE_FORMAL_NON_EVENT,30_results_c1b/gate/AQ2C1B_confirmation_summary.json,per_AAC_rate.48
64,DISCOVERY_RATE_REPLICATION,0.08333333333333333,-3.8867135342785626,0.85,10.436592045936859,0.5205153036116993,1.0,DISCOVERY_RATE_REPLICATION,30_results_c1b/gate/AQ2C1B_confirmation_summary.json,per_AAC_rate.64
80,FULL_NEW_RATE_EVENT,0.06666666666666667,-4.01694799248491,0.8333333333333334,9.721719737063143,0.5898676918403196,1.0,FULL_NEW_RATE_EVENT,30_results_c1b/gate/AQ2C1B_confirmation_summary.json,per_AAC_rate.80
96,FULL_NEW_RATE_EVENT,0.08333333333333333,-5.303075273499484,0.8333333333333334,8.117731551667434,0.7246632941742901,0.9833333333333333,FULL_NEW_RATE_EVENT,30_results_c1b/gate/AQ2C1B_confirmation_summary.json,per_AAC_rate.96
128,ENDPOINT_CONTROL,0.9,8.479375511368929,0.55,6.282462253219327,NA,NA,ENDPOINT_CONTROL,30_results_c1b/gate/AQ2C1B_confirmation_summary.json,per_AAC_rate.128
