rate_kbps,role,BA,AAC_recall,AAC_recall_drop,AAC_median_true_margin,wrong_centroid_fraction,dominant_error_target,dominant_error_share,bootstrap_low,bootstrap_median,bootstrap_high,multi_corpus_true_count,structural_event,formal_event_status
32,ENDPOINT_CONTROL,0.883,0.917,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ENDPOINT_CONTROL
48,NEW_PROBE_FORMAL_NON_EVENT,0.394,0.150,0.750,-3.246,0.683,MP3,0.588,0.658,0.758,0.850,3,FALSE,NEW_RATE_FORMAL_NON_EVENT
64,DISCOVERY_RATE_REPLICATION,0.428,0.083,0.817,-3.887,0.850,N/A,N/A,0.733,N/A,N/A,N/A,N/A,DISCOVERY_RATE_REPLICATION
80,FULL_NEW_RATE_EVENT,0.444,0.067,0.833,-4.017,0.833,MP3,0.679,0.758,0.842,0.917,3,TRUE,FULL_NEW_RATE_EVENT
96,FULL_NEW_RATE_EVENT,0.489,0.083,0.817,-5.303,0.833,Opus,0.727,0.733,0.825,0.908,3,TRUE,FULL_NEW_RATE_EVENT
128,ENDPOINT_CONTROL,0.800,0.900,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ENDPOINT_CONTROL
