codec,nominal_rate_kbps,n,recall,median_TRUE_MARGIN,fraction_TRUE_MARGIN_gt_0,fraction_true_centroid_rank_1,fraction_wrong_centroid_closer,dominant_error_target,dominant_error_share
AAC,32,60,0.9166666666666666,4.662424656832801,0.9166666666666666,0.6,0.4,Opus,0.6
AAC,48,60,0.15,-3.245819457502583,0.15,0.31666666666666665,0.6833333333333333,MP3,0.5882352941176471
AAC,64,60,0.08333333333333333,-3.8867135342785626,0.08333333333333333,0.15,0.85,MP3,0.8
AAC,80,60,0.06666666666666667,-4.01694799248491,0.06666666666666667,0.16666666666666666,0.8333333333333334,MP3,0.6785714285714286
AAC,96,60,0.08333333333333333,-5.303075273499484,0.08333333333333333,0.16666666666666666,0.8333333333333334,Opus,0.7272727272727273
AAC,128,60,0.9,8.479375511368929,0.9,0.45,0.55,MP3,0.5
MP3,32,60,0.8833333333333333,7.286634386484084,0.8833333333333333,0.9666666666666667,0.03333333333333333,Opus,0.5714285714285714
MP3,48,60,0.2,-10.160627592736521,0.2,0.5,0.5,AAC,0.9583333333333334
MP3,64,60,0.35,-0.8862902546768008,0.35,0.3333333333333333,0.6666666666666666,AAC,0.5641025641025641
MP3,80,60,0.48333333333333334,-0.026433214530605598,0.48333333333333334,0.3333333333333333,0.6666666666666666,Opus,0.7419354838709677
MP3,96,60,0.65,0.9146334830119454,0.65,0.3333333333333333,0.6666666666666666,Opus,0.7142857142857143
MP3,128,60,0.7,1.7010407429054741,0.7,0.35,0.65,Opus,0.6666666666666666
Opus,32,60,0.85,4.565585539388604,0.85,0.6,0.4,AAC,0.5555555555555556
Opus,48,60,0.8333333333333334,4.45399775348416,0.8333333333333334,0.5833333333333334,0.4166666666666667,AAC,0.7
Opus,64,60,0.85,4.501137501576394,0.85,0.6666666666666666,0.3333333333333333,MP3,0.5555555555555556
Opus,80,60,0.7833333333333333,3.33555703969796,0.7833333333333333,0.65,0.35,MP3,0.8461538461538461
Opus,96,60,0.7333333333333333,2.8542994063933946,0.7333333333333333,0.6333333333333333,0.36666666666666664,MP3,0.8125
Opus,128,60,0.8,3.416625018455414,0.8,0.5833333333333334,0.4166666666666667,MP3,0.75
